1,박동길,1,1,1
2,김길동,1,1,2
3,정명석,1,1,3
4,최현재,1,1,4
5,박재현,1,1,5
6,김길동,1,1,6
7,박석재,1,1,7
8,정현수,1,1,8
9,정길명,1,1,9
10,이길명,1,1,10
11,김명동,1,2,1
12,최명동,1,2,2
13,김동현,1,2,3
14,박길동,1,2,4
15,이진동,1,2,5
16,이현길,1,2,6
17,김진재,1,2,7
18,김수수,1,2,8
19,최진동,1,2,9
20,김동수,1,2,10
21,김재수,1,3,1
22,김길수,1,3,2
23,최재진,1,3,3
24,박수수,1,3,4
25,이명동,1,3,5
26,박동명,1,3,6
27,최현명,1,3,7
28,정수수,1,3,8
29,이동재,1,3,9
30,정진길,1,3,10
31,박현현,1,4,1
32,정석석,1,4,2
33,박진동,1,4,3
34,정석현,1,4,4
35,김수수,1,4,5
36,김현진,1,4,6
37,최석현,1,4,7
38,최수동,1,4,8
39,이현길,1,4,9
40,최석수,1,4,10
41,김명진,1,5,1
42,박석재,1,5,2
43,최진석,1,5,3
44,박길길,1,5,4
45,이길동,1,5,5
46,박석명,1,5,6
47,박명명,1,5,7
48,이현명,1,5,8
49,최재길,1,5,9
50,이진길,1,5,10
51,정석명,2,1,1
52,이현진,2,1,2
53,이재석,2,1,3
54,이동재,2,1,4
55,최재현,2,1,5
56,최명동,2,1,6
57,최재수,2,1,7
58,김진동,2,1,8
59,최석현,2,1,9
60,정수길,2,1,10
61,박동진,2,2,1
62,정진수,2,2,2
63,정길명,2,2,3
64,박석길,2,2,4
65,김재석,2,2,5
66,정석재,2,2,6
67,이재명,2,2,7
68,최진진,2,2,8
69,정진석,2,2,9
70,최동수,2,2,10
71,김진현,2,3,1
72,박진명,2,3,2
73,박명동,2,3,3
74,김명현,2,3,4
75,김진길,2,3,5
76,정현수,2,3,6
77,최석진,2,3,7
78,김진수,2,3,8
79,김동길,2,3,9
80,김수수,2,3,10
81,김재동,2,4,1
82,박수길,2,4,2
83,정석재,2,4,3
84,김재동,2,4,4
85,김진진,2,4,5
86,최현현,2,4,6
87,김동재,2,4,7
88,정진동,2,4,8
89,최석동,2,4,9
90,김진진,2,4,10
91,박현석,2,5,1
92,정수석,2,5,2
93,박진명,2,5,3
94,정진석,2,5,4
95,최석동,2,5,5
96,박석수,2,5,6
97,정현재,2,5,7
98,이진동,2,5,8
99,김수길,2,5,9
100,박길길,2,5,10
101,최명석,3,1,1
102,김석석,3,1,2
103,정동수,3,1,3
104,김재길,3,1,4
105,박진진,3,1,5
106,이수수,3,1,6
107,김명석,3,1,7
108,정동길,3,1,8
109,정석현,3,1,9
110,김현진,3,1,10
111,최수재,3,2,1
112,정명진,3,2,2
113,김수동,3,2,3
114,박명길,3,2,4
115,정수길,3,2,5
116,김진재,3,2,6
117,김수명,3,2,7
118,정동진,3,2,8
119,박동석,3,2,9
120,이명명,3,2,10
121,정석수,3,3,1
122,박수석,3,3,2
123,김수길,3,3,3
124,이재현,3,3,4
125,김재재,3,3,5
126,이수동,3,3,6
127,김수현,3,3,7
128,박석진,3,3,8
129,이재명,3,3,9
130,김재길,3,3,10
131,정수재,3,4,1
132,박현동,3,4,2
133,정진현,3,4,3
134,이현동,3,4,4
135,박현석,3,4,5
136,최현진,3,4,6
137,정현현,3,4,7
138,박길진,3,4,8
139,최동길,3,4,9
140,최수동,3,4,10
141,최동길,3,5,1
142,이진재,3,5,2
143,최현석,3,5,3
144,이석재,3,5,4
145,정진진,3,5,5
146,박수길,3,5,6
147,박석명,3,5,7
148,최명재,3,5,8
149,이명길,3,5,9
150,김현수,3,5,10
151,홍길동,1,1,11
